,station no.,station name,latitude,longitude,altitude,meanSpeed-100m,gustObs,stormCount,startTime,meanRes,gustGoodness,durationGoodness
0,014015,DARWIN AIRPORT                          ,-12.4239,130.8925,30.4,4.5577235,455969,4.1,1985-01-02 01:30:00,29.9985693,0.009900990099009901,0.9504950495049505
1,014031,CHARLES POINT                           ,-12.3895,130.6306,14.0,5.0594335,193461,13.25768041712809,2006-01-06 13:00:00,29.99990085,0.009900990099009901,0.9306930693069307
2,014041,MIDDLE POINT                            ,-12.605,131.2988,14.1,4.4731894,296307,4.17,2001-08-07 15:30:00,29.99992105,0.009900990099009901,0.5346534653465347
3,014046,NOONAMAH AWS                            ,-12.6365,131.0714,26.9,4.8307443,64172,7.941665774701488,2008-11-11 13:30:00,29.999624833333332,0.009900990099009901,0.1782178217821782
4,014072,DARWIN NTC AWS                          ,-12.4719,130.8458,0.0,5.098608,178428,4.6315192743764175,2012-08-16 10:00:00,29.999839333333334,0.009900990099009901,0.2079207920792079
5,014142,PIRLANGIMPI AIRPORT                     ,-11.4021,130.4217,18.3,4.577474,261431,5.52422110260794,2006-01-11 22:30:00,29.999900766666666,0.009900990099009901,0.9702970297029703
6,014198,JABIRU AIRPORT                          ,-12.6592,132.894,26.5,4.524206,333700,2.6090909090909093,1993-07-01 09:30:00,29.999942533333336,0.009900990099009901,0.46534653465346537
7,014245,CAPE DON                                ,-11.3081,131.7651,19.0,5.2343674,77091,1.0,2005-12-19 09:30:00,29.976791283333334,0.009900990099009901,
8,014254,POINT STUART                            ,-12.2403,131.8785,1.0,5.1842422,177657,4.055555555555555,2003-03-09 16:30:00,29.999914816666667,0.009900990099009901,0.6039603960396039
9,014272,BATCHELOR AIRPORT                       ,-13.0544,131.0252,104.0,5.300636,341066,5.016895878921999,1993-07-07 12:30:00,29.983047916666667,0.009900990099009901,0.801980198019802
10,014274,MCCLUER ISLAND                          ,-11.0468,132.9791,1.4,6.837427,201410,3.5,2001-01-08 10:30:00,29.406301016666664,0.009900990099009901,0.8217821782178217
11,014277,DUM IN MIRRIE AIRSTRIP                  ,-12.635,130.3725,3.5,5.242257,271159,13.110830634743678,2000-10-19 22:30:00,29.715452866666666,0.009900990099009901,0.0594059405940594
12,014299,NGUKURR AIRPORT                         ,-14.7236,134.7456,14.5,5.0035133,185183,3.7972252023506425,2012-07-02 09:30:00,29.999841166666666,0.009900990099009901,0.40594059405940597
