,station no.,station name,latitude,longitude,altitude,meanSpeed-100m,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,1-in-5-year duration,1-in-10-year duration,1-in-20-year duration,1-in-25-year duration,1-in-50-year duration,1-in-100-year duration
0,046012,WILCANNIA AERODROME AWS                 ,-31.5194,143.385,94.3,6.71817,1.5512884315260933,4.330703452359641,2000-01-19 14:00:00,36.2477782,337003,5.565062165260315,6.4226421266794205,7.280222088098526,7.556301176548004,8.41388115286827,9.271461144089699
1,046126,TIBOOBURRA AIRPORT                      ,-29.4448,142.0567,176.4,6.8355446,1.4416467639483683,4.741483667927445,1997-09-21 16:00:00,43.21282156666667,311007,5.733816087245941,6.671173393726349,7.608530640602112,7.910292327404022,8.847649574279785,9.785006880760193
2,046128,FOWLERS GAP AWS                         ,-31.0863,141.7008,181.0,7.20423,1.6668822861902048,4.32197875721711,2004-10-26 18:00:00,39.30806173333334,246944,20.500234611060687,28.69124308556118,39.90747611061841,44.33573257134119,61.330020132737914,84.60088964494392
3,046129,WHITE CLIFFS AWS                        ,-30.8522,143.0743,158.0,7.044349,1.4688800282994157,4.795728077076886,2005-07-05 18:00:00,37.82954051666666,247003,5.821995407342911,6.759669557213783,7.697343736886978,7.999207392334938,8.936881586909294,9.87455578148365
4,047048,BROKEN HILL AIRPORT AWS                 ,-32.0012,141.4694,281.3,7.2803807,1.510156694768192,4.820943913358692,1989-01-01 13:30:00,43.69179196666666,412572,10.341970801353455,11.791226983070374,13.240483224391937,13.707039475440979,15.156295716762543,16.605551958084106
5,048027,COBAR MO                                ,-31.484,145.8294,260.0,7.035547,2.0090982234223187,3.5018431142944046,1989-01-18 16:30:00,46.356241,388277,7.166390061378479,7.9804909229278564,8.794591784477234,9.056673735380173,9.87077459692955,10.68487548828125
6,048237,COBAR AIRPORT AWS                       ,-31.5388,145.7964,218.0,6.9146757,1.9467355847360601,3.5519336918695847,1993-09-19 07:30:00,42.73096078333333,363763,7.406668797135353,8.289412185549736,9.17215558886528,9.456335499882698,10.339078918099403,11.22182235121727
7,048244,COBAR COMPARISON                        ,-31.4861,145.8281,260.0,7.022478,1.206666550299402,5.819733796296297,2000-01-15 00:30:00,2291.5625,192,0,0,0,0,0,0
8,048245,BOURKE AIRPORT AWS                      ,-30.0362,145.9521,107.3,6.5867133,1.7820478896100285,3.6961483204010803,1999-02-04 14:00:00,38.014048083333336,334564,15.917137739783408,27.145278017613094,46.21815349006396,54.84250643389489,93.26653153347662,158.53616904608123
9,049000,IVANHOE AERODROME AWS                   ,-32.8833,144.3092,100.0,6.7661037,1.672739947071493,4.04492267692442,2000-07-24 13:00:00,41.10345373333334,290642,14.61095497821594,23.649969008310727,38.18026109780738,44.52839148714168,71.74250317147583,115.48941963968183
10,050017,WEST WYALONG AIRPORT AWS                ,-33.9382,147.1962,257.0,6.160394,1.696716906617786,3.630773152382854,1999-04-30 18:00:00,41.4427525,303926,12.830027786276501,16.733094820284016,21.5922935931164,23.39714566208844,29.88883254323985,37.970783647758026
