station no.,station name,latitude,longitude,altitude,meanSpeed-10m,meanSpeed-100m,scaleFactor,startTime,meanRes,Observations,meanDuration,highWindFrac,closestZone,distanceToZone,distanceToCentroid,inZone
023894,HINDMARSH ISLAND AWS                    ,-35.5194,138.8177,11.0,5.902880705751609,7.1058564,1.2037946848029408,2003-02-03 12:30:00,29.99974565,291002.0,10.1875,0.006765367253472,18,12.88556127473192,217.94494148300512,False
025557,KEITH (MUNKORA)                         ,-36.1058,140.3273,27.0,3.931146179846337,7.2506366,1.8444077747039207,2001-07-04 10:30:00,29.999921383333334,292580.0,42.60869565217392,0.0261571024838007,18,3.6435667712326207,75.28615192669076,False
026021,MOUNT GAMBIER AERO                      ,-37.7473,140.7739,63.0,4.467340417642391,7.405189,1.6576281064407976,1992-04-06 10:00:00,29.998565466666665,463261.0,70.92307692307692,0.0308580448114298,18,0.0,76.43604204932846,True
026091,COONAWARRA                              ,-37.2906,140.8254,57.0,4.02631499612805,7.557906,1.877127387719544,1997-08-13 09:30:00,29.9999333,375085.0,64.76,0.0328744819950036,18,0.0,51.28468523610861,True
026095,CAPE JAFFA (THE LIMESTONE)              ,-36.9655,139.7164,17.0,6.000326444439729,8.554711,1.4257076545868983,1992-04-06 10:30:00,29.999944816666662,453871.0,42.69230769230769,0.0265091977901625,18,0.0,79.86971368625717,True
026099,NARACOORTE AERODROME                    ,-36.9813,140.727,49.7,4.666166631601968,7.5468345,1.617352114630893,1998-06-17 09:30:00,29.999931033333333,359773.0,40.89473684210526,0.0244283601717718,18,0.0,32.51370630175277,True
026100,PADTHAWAY SOUTH                         ,-36.6539,140.5212,37.0,3.7001003600346056,7.533033,2.0358996138321146,2000-06-19 17:30:00,29.999924966666665,283750.0,47.77777777777778,0.0500174198691321,18,0.0,29.064791454432317,True
026105,ROBE AIRFIELD                           ,-37.1776,139.8054,3.0,4.4508787791151,8.015584,1.800899190877989,2003-07-03 09:30:00,29.99991345,275566.0,40.891891891891895,0.0582440398988671,18,0.0,72.10217795050151,True
079099,EDENHOPE AIRPORT                        ,-37.0222,141.2657,155.0,3.5555700014131224,7.620792,2.143339017105572,2005-04-06 15:00:00,29.999905,312563.0,99.96296296296296,0.0457204962655631,18,0.0,92.50265162814405,True
090171,PORTLAND (CASHMORE AIRPORT)             ,-38.3148,141.4705,80.9,4.664587900994856,7.8963327,1.692825370296822,1995-11-05 14:00:00,29.9723906,451657.0,65.8125,0.0376614888275007,18,16.404107870311627,163.33729394712506,False
090182,CASTERTON                               ,-37.5831,141.334,130.6,3.897784039355014,7.360738,1.88844167000493,2005-03-02 15:30:00,29.909095200000003,312621.0,67.65217391304348,0.03886771094284,18,2.340476359613954,112.98211623116772,False
090184,CAPE NELSON LIGHTHOUSE                  ,-38.4306,141.5437,45.4,6.006878627366899,8.828662,1.4697586660761546,1997-05-01 10:00:00,29.99993403333333,433605.0,50.264150943396224,0.0415733301261203,18,29.838329173768653,176.21765391851898,False
090192,PORTLAND NTC AWS                        ,-38.3439,141.6136,0.0,5.154056713747096,7.614743,1.477427132770332,2011-04-15 15:00:00,29.999857266666663,209324.0,34.03846153846154,0.024847308642213,18,28.830260780153903,176.67525496729942,False
090194,DARTMOOR                                ,-37.9222,141.2614,51.0,3.2715753889217605,6.4981894,1.9862569792261344,2009-03-05 16:00:00,29.999635916666666,245760.0,51.44,0.0357265261785564,18,0.0,123.04779341384322,True
