station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,closestZone,distanceToZone,distanceToCentroid,inZone
074037,YANCO AGRICULTURAL INSTITUTE            ,-34.6222,146.4326,164.0,6.437553,7.012820512820513,0.0141634103697524,1.7844198223261163,3.6076448201145617,1999-08-05 17:00:00,29.999927733333333,303365.0,3,42.713018135724276,282.68794071239506,False
074258,DENILIQUIN AIRPORT AWS                  ,-35.5575,144.9458,94.0,6.8295126,6.925925925925926,0.0098157210306538,1.5490406122579206,4.408866069802716,1997-05-23 10:00:00,29.99993388333333,347676.0,3,25.715732628327657,139.46321271422818,False
075019,HAY AIRPORT AWS                         ,-34.5412,144.8345,92.0,6.8656693,7.492063492063492,0.0135548611455483,1.509991741388549,4.546825695996715,2007-06-26 09:00:00,29.99989163333333,233431.0,3,0.0,106.10447354520424,True
075041,GRIFFITH AIRPORT AWS                    ,-34.2487,146.0695,134.0,6.419528,6.433734939759036,0.0176245511297491,1.6156908430296522,3.9732403232971154,2000-06-13 18:00:00,29.99992501666667,332210.0,3,3.47176768783417,245.9691264350595,False
075174,GRIFFITH CSIRO                          ,-34.3229,146.0684,125.0,6.6753535,0.0,0.0226297957310099,2.9657840479315456,2.2507888029557463,1989-03-01 12:00:00,29.67123636666667,112498.0,3,4.627198956071963,244.75514866971326,False
075175,HAY CSIRO AWS                           ,-34.5471,144.867,90.0,6.8976617,0.0,0.0200000640665222,2.4244456730495365,2.845046916340068,1996-09-13 12:00:00,17.95088775,86092.0,3,0.0,109.5990357866981,True
076031,MILDURA AIRPORT                         ,-34.2358,142.0867,50.0,7.036588,7.522540983606557,0.0241245636562548,1.9507464927391327,3.607125896766672,1989-01-16 12:00:00,29.9638527,447823.0,3,0.0,205.28819477744526,True
076064,WALPEUP RESEARCH                        ,-35.1201,142.004,105.0,7.2197957,7.579861111111111,0.0149473080686276,1.7036261832732882,4.237899003181599,1998-11-19 12:00:00,29.99978953333333,400068.0,3,15.039522183087026,212.85047455456947,False
077010,HOPETOUN AIRPORT                        ,-35.7151,142.3569,77.3,7.087376,7.2145328719723185,0.0160171616891399,1.591308088658422,4.453805123105624,2004-06-18 18:00:00,29.99990903333333,327483.0,3,26.220448948208908,192.16491026394186,False
077094,SWAN HILL AERODROME                     ,-35.3766,143.5416,71.0,6.9382935,8.525139664804469,0.0160984923046485,1.6485015163278924,4.2088486958062346,1997-05-01 10:00:00,29.99993403333333,413591.0,3,0.0,70.4203493249769,True
