station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations
014015,DARWIN AIRPORT                          ,-12.4239,130.8925,30.4,4.5577235,9.833333333333334,0.0010081719572304637,1.3114549376022344,3.475318435659923,1985-01-02 01:30:00,29.9985693,455956
014031,CHARLES POINT                           ,-12.3895,130.6306,14.0,5.0594335,13.796875,0.006216408819765817,1.8312749610009216,2.7627929000188245,2006-01-06 13:00:00,29.99990085,193461
014041,MIDDLE POINT                            ,-12.605,131.2988,14.1,4.4731894,7.6,0.005466681437859,1.9392466549240934,2.306663436847832,2001-08-07 15:30:00,29.99992105,296306
014046,NOONAMAH AWS                            ,-12.6365,131.0714,26.9,4.8307443,9.2,0.03250492310330122,2.857012195747465,1.6908378178085333,2008-11-11 13:30:00,29.999624833333332,64172
014072,DARWIN NTC AWS                          ,-12.4719,130.8458,0.0,5.098608,9.142857142857142,0.0025001952310382825,1.5439652302477798,3.3022816298457283,2012-08-16 10:00:00,29.999839333333334,178428
014142,PIRLANGIMPI AIRPORT                     ,-11.4021,130.4217,18.3,4.577474,7.5636363636363635,0.020768740944036468,2.763132087739307,1.6566251528801048,2006-01-11 22:30:00,29.999900766666666,261431
014198,JABIRU AIRPORT                          ,-12.6592,132.894,26.5,4.524206,9.0,0.007742282655767596,1.9330457946401618,2.340454723857801,1993-07-01 09:30:00,29.999942533333336,333700
014245,CAPE DON                                ,-11.3081,131.7651,19.0,5.2343674,0,0.00750792575975523,1.6710039316229341,3.132468614554173,2005-12-19 09:30:00,29.976791283333334,77091
014254,POINT STUART                            ,-12.2403,131.8785,1.0,5.1842422,9.5,0.003597430151741854,1.5277712364472318,3.3933367279455364,2003-03-09 16:30:00,29.999914816666667,177657
014272,BATCHELOR AIRPORT                       ,-13.0544,131.0252,104.0,5.300636,7.963054187192118,0.034095231152548866,2.7474870804271614,1.9292668753305438,1993-07-07 12:30:00,29.983047916666667,341066
014274,MCCLUER ISLAND                          ,-11.0468,132.9791,1.4,6.837427,9.0,0.0028646875143168993,1.0482283716469483,6.522841132929311,2001-01-08 10:30:00,29.406301016666664,201410
014277,DUM IN MIRRIE AIRSTRIP                  ,-12.635,130.3725,3.5,5.242257,12.431818181818182,0.018045449243940026,2.3739812400281606,2.2082133716283763,2000-10-19 22:30:00,29.715452866666666,271159
